日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 95/01/02,"29,267,603","1,780,020,933",61.8,61.8,60.0,61.0,-1.5,"7,332"
 95/01/03,"68,454,902","4,231,395,037",61.0,62.9,60.5,62.9,1.9,"9,088"
 95/01/04,"53,059,960","3,333,169,980",63.1,63.4,62.0,63.4,0.5,"7,552"
 95/01/05,"43,479,769","2,760,142,947",63.4,64.0,62.6,64.0,0.6,"8,353"
 95/01/06,"66,362,586","4,321,175,921",64.8,65.5,64.7,65.5,1.5,"14,651"
 95/01/09,"75,794,876","5,106,844,543",66.1,68.4,66.1,68.1,2.6,"15,937"
 95/01/10,"44,405,801","2,965,614,025",68.0,68.0,66.2,66.7,-1.4,"8,708"
 95/01/11,"67,186,444","4,361,089,016",66.0,66.0,64.1,65.8,-0.9,"11,716"
 95/01/12,"46,494,334","3,050,241,610",66.5,66.5,65.1,65.5,-0.3,"7,799"
 95/01/13,"36,961,769","2,377,685,342",64.8,65.0,63.8,64.5,-1.0,"7,679"
 95/01/16,"36,002,173","2,300,806,970",63.8,64.3,63.5,63.9,-0.6,"7,406"
 95/01/17,"37,879,768","2,447,484,842",64.1,65.3,64.1,64.6,0.7,"7,164"
 95/01/18,"79,147,318","4,892,455,394",62.0,62.7,61.4,61.6,-3.0,"16,669"
 95/01/19,"51,883,460","3,224,864,720",61.8,63.1,61.3,62.0,0.4,"9,694"
 95/01/20,"35,319,303","2,212,884,790",63.0,63.0,62.1,62.5,0.5,"5,368"
 95/01/23,"28,081,931","1,734,336,871",61.6,62.2,61.4,61.8,-0.7,"4,836"
 95/01/24,"38,641,407","2,400,942,870",61.8,62.6,61.7,61.9,0.1,"5,564"
 95/01/25,"39,855,088","2,512,800,966",63.0,63.5,62.3,63.5,1.6,"7,493"
 95/02/03,"79,436,673","5,007,324,168",64.0,64.5,62.3,63.4,-0.1,"12,790"
 95/02/06,"52,336,764","3,280,580,760",63.0,66.5,61.6,66.5,3.1,"9,627"
 95/02/07,"40,155,294","2,603,913,253",64.0,65.3,64.0,65.0,-1.5,"7,913"
 95/02/08,"34,913,080","2,227,760,328",65.0,65.0,63.0,63.1,-1.9,"7,357"
 95/02/09,"37,009,155","2,353,563,504",64.0,64.2,62.6,63.0,-0.1,"5,935"
 95/02/10,"37,460,827","2,337,963,297",63.0,63.1,62.0,62.6,-0.4,"5,888"
 95/02/13,"25,958,271","1,617,707,360",62.1,62.7,62.0,62.4,-0.2,"5,235"
 95/02/14,"46,120,266","2,852,716,061",62.0,62.3,61.6,62.3,-0.1,"9,289"
 95/02/15,"37,023,981","2,289,401,301",62.5,62.5,61.1,61.3,-1.0,"9,427"
 95/02/16,"43,052,234","2,685,851,487",61.9,62.9,61.6,62.4,1.1,"8,388"
 95/02/17,"32,251,869","1,998,264,841",62.5,62.9,61.6,61.7,-0.7,"6,291"
 95/02/20,"22,700,265","1,410,799,580",61.5,62.7,61.4,62.7,1.0,"5,639"
 95/02/21,"31,715,863","1,978,104,306",62.9,63.2,62.0,62.1,-0.6,"6,445"
 95/02/22,"36,070,897","2,231,327,854",62.4,62.7,61.3,61.9,-0.2,"7,158"
 95/02/23,"41,692,129","2,549,616,131",61.7,61.8,60.5,60.8,-1.1,"8,750"
 95/02/24,"44,897,700","2,734,796,633",60.8,61.3,60.3,61.0,0.2,"6,523"
 95/02/27,"43,733,871","2,651,205,783",61.0,61.0,60.3,60.9,-0.1,"7,822"
 95/03/01,"55,533,120","3,350,825,826",60.3,60.8,59.9,60.4,-0.5,"11,365"
 95/03/02,"77,472,308","4,826,441,996",61.5,62.8,61.5,62.7,2.3,"15,661"
 95/03/03,"42,744,211","2,650,207,608",62.6,62.6,61.4,61.8,-0.9,"6,793"
 95/03/06,"27,293,304","1,668,511,603",61.7,61.7,60.7,60.9,-0.9,"6,147"
 95/03/07,"35,930,557","2,170,037,278",60.9,60.9,60.1,60.1,-0.8,"7,968"
